id;x;y;bio02;bio04;bio06;bio09;bio12;bio15;bio16;acap;aset;aste;catr;ccor;cdel;cfee;chir;cleu;cpha;cvil;sgar;dsel
9598;-54.6708333336667;-32.662499999734;10.9666665395101;454.461885157263;4.5;18.8333334922791;1284;7.76694772688369;334;0;0;0;0;0;0;0;0;0;0;0;0;0
9599;-54.529166667;-32.662499999734;11.308333158493;454.399996521477;4.59999990463257;19.0500000317891;1287;8.41264743366674;336;0;0;0;0;0;0;0;0;0;0;0;0;0
9600;-53.7708333336667;-32.662499999734;10.4749998648961;438.79203289052;6;19.4833334287008;1289;11.0855735353815;345;0;0;0;0;0;0;0;0;0;0;0;0;0
9601;-53.354166667;-32.662499999734;9.49999972184499;424.046173011399;7.09999990463257;19.7333331108093;1279;12.479893888909;350;0;0;0;0;0;0;0;0;0;0;0;0;0
9602;-52.8375000003333;-32.662499999734;7.22499990463257;408.213723197393;8.69999980926514;19.4999998410543;1237;14.7337631624663;353;0;0;0;0;0;0;0;0;0;0;0;0;0
9603;-54.604166667;-32.6708333330669;11.2749998966853;455.054726947602;4.40000009536743;18.8666666348775;1294;7.76534741444537;336;0;0;0;0;0;0;0;0;0;0;0;0;0
9604;-53.9458333336667;-32.6708333330669;11.1166669130325;444.321932601517;5.59999990463257;19.5000001589457;1287;11.287438255845;343;0;0;0;0;0;0;0;0;0;0;0;0;0
9605;-56.6958333336667;-32.6791666663997;12.1416667699814;494.713520912776;4.5;11.800000111262;1285;13.2936893611355;373;0;0;0;0;0;0;0;0;0;0;0;0;0
9606;-56.5375000003333;-32.6791666663997;12.1499999364217;496.56470571756;4.40000009536743;11.6999999682109;1278;12.6959783268868;363;0;0;0;0;0;0;0;0;0;0;0;0;0
9607;-54.679166667;-32.6791666663997;10.9499996900558;454.250133418097;4.30000019073486;18.6500000953674;1291;7.25645228154893;335;0;0;0;0;0;0;0;0;0;0;0;0;0
9608;-53.9708333336667;-32.6791666663997;11.174999833107;443.900378486868;5.59999990463257;19.5500000317891;1283;11.1158879655117;341;0;0;0;0;0;0;0;0;0;0;0;0;0
9609;-53.9458333336667;-32.6791666663997;11.1166667540868;442.700055864984;5.59999990463257;19.5000001589457;1292;11.4423943674637;348;0;0;0;0;0;0;0;0;0;0;0;0;0
9610;-53.9208333336667;-32.6791666663997;11.0916668176651;443.704062890217;5.59999990463257;19.5000001589457;1283;10.931780694669;340;0;0;0;0;0;0;0;0;0;0;0;0;0
9611;-53.1875000003333;-32.6791666663997;8.11666663487752;419.468457459841;8;19.6833335558573;1237;13.3345819143208;345;0;0;0;0;0;0;0;0;0;0;0;0;0
9612;-56.8125000003333;-32.6874999997326;12.1250000397364;493.192084045817;4.5;11.7666666507721;1292;14.3066929806954;382;0;0;0;0;0;0;0;0;0;0;0;0;0
9613;-53.5125000003333;-32.6874999997326;10.0250000953674;431.195259156561;6.69999980926514;19.7166666984558;1285;12.2581997209672;352;0;0;0;0;0;0;0;0;0;0;0;0;0
9614;-57.2875000003333;-32.6958333330654;11.7083334525426;487.835918130107;5;12.150000333786;1263;16.8033610083361;386;0;0;0;0;0;0;0;0;0;0;0;0;0
9615;-56.7708333336667;-32.6958333330654;12.2833333015442;493.513999228945;4.5;11.8166666030884;1290;13.8137086511132;378;0;0;0;0;0;0;0;0;0;0;0;0;0
9616;-56.4875000003333;-32.6958333330654;12.0750001271566;496.773495531959;4.40000009536743;11.5833335717519;1272;11.7339552148523;357;0;0;0;0;0;0;0;0;0;0;0;0;0
9617;-55.179166667;-32.6958333330654;11.5500001907349;462.006487418381;4.90000009536743;19.4999998410543;1248;6.45936188869073;326;0;0;0;0;0;0;0;0;0;0;0;0;0
9618;-54.029166667;-32.6958333330654;11.0499996344248;444.206804993113;5.30000019073486;19.2499996821086;1293;11.0492760468292;342;0;0;0;0;0;0;0;0;0;0;0;0;0
9619;-53.2958333336667;-32.6958333330654;9.28333353996277;423.47765512365;7.19999980926514;19.6833333969116;1270;12.8270562429983;351;0;0;0;0;0;0;0;0;0;0;0;0;0
9620;-55.2625000003333;-32.7041666663982;11.4416668812434;463.781179206673;4.90000009536743;19.5333333015442;1244;6.3156385490973;326;0;0;0;0;0;0;0;0;0;0;0;0;0
9621;-53.0875000003333;-32.7041666663982;7.50833344459534;412.401278205373;8.39999961853027;19.5;1242;13.7921022808424;350;0;0;0;0;0;0;0;0;0;0;0;0;0
9622;-56.7875000003333;-32.7124999997311;12.2333335081736;493.466395227688;4.5;11.7833334604899;1293;13.8521897106025;380;0;0;0;0;0;0;0;0;0;0;0;0;0
9623;-55.7958333336667;-32.7124999997311;11.6166662772497;474.886781385807;5.09999990463257;23.3666671117147;1188;10.4533596165409;323;0;0;0;0;0;0;0;0;0;0;0;0;0
9624;-54.4875000003333;-32.7124999997311;11.2749998172124;450.027570946331;4.30000019073486;18.6166666348775;1304;9.02968589526864;340;0;0;0;0;0;0;0;0;0;0;0;0;0
9625;-53.9208333336667;-32.7124999997311;10.9583337306976;442.808482583698;5.69999980926514;19.5166665712992;1282;11.5138579888091;342;0;0;0;0;0;0;0;0;0;0;0;0;0
9626;-53.7208333336667;-32.7124999997311;10.6250000397364;439.899057942387;6;19.5833331743876;1283;11.7109119693208;346;0;0;0;0;0;0;0;0;0;0;0;0;0
9627;-52.9875000003333;-32.7124999997311;7.375;410.665339790726;8.5;19.4666665395101;1238;13.9588173502694;350;0;0;0;0;0;0;0;0;0;0;0;0;0
9628;-56.3958333336667;-32.7208333330639;9.59999990463257;484.37086798881;6.09999990463257;11.8999999364217;1232;10.838358911843;342;0;0;0;0;0;0;0;0;0;0;0;0;0
9629;-55.654166667;-32.7208333330639;11.8750001192093;471.75426853481;4.80000019073486;19.8833335240682;1201;8.6599707098982;321;0;0;0;0;0;0;0;0;0;0;0;0;0
9630;-57.1208333336667;-32.7291666663968;11.5250002543132;490.153618850079;4.80000019073486;11.9000000953674;1274;16.0582145789029;387;0;0;0;0;0;0;0;0;0;0;0;0;0
9631;-56.5625000003333;-32.7291666663968;12.0999997456868;497.941212967681;4.40000009536743;11.6666665077209;1288;13.062188325527;370;0;0;0;0;0;0;0;0;0;0;0;0;0
9632;-55.779166667;-32.7291666663968;11.4999999205271;473.815926676766;5.19999980926514;23.3999999364217;1187;10.264002736993;323;0;0;0;0;0;0;0;0;0;0;0;0;0
9633;-55.3208333336667;-32.7291666663968;11.9499998490016;469.081954122896;4.80000019073486;19.7499998410543;1232;6.07770398032621;322;0;0;0;0;0;0;0;0;0;0;0;0;0
9634;-54.554166667;-32.7291666663968;11.2583332459132;451.741380161953;4.09999990463257;18.4666666984558;1302;8.13573248869792;339;0;0;0;0;0;0;0;0;0;0;0;0;0
9635;-52.4958333336667;-32.7291666663968;7.54999995231628;405.363674047769;8.39999961853027;19.3333334922791;1207;14.366785866291;338;0;0;0;0;0;0;0;0;0;0;0;0;0
9636;-56.9625000003333;-32.7374999997296;11.949999888738;490.668999747866;4.5;11.7666665712992;1287;14.8284183462884;385;0;0;0;0;0;0;0;0;0;0;0;0;0
9637;-56.554166667;-32.7374999997296;12.0999998648961;498.038569394341;4.30000019073486;11.5833336512248;1289;12.9457945916995;369;0;0;0;0;0;0;0;0;0;0;0;0;0
9638;-56.2375000003333;-32.7374999997296;9.83333357175191;480.106511567241;6;17.2499996821086;1175;11.6585349343698;329;0;0;0;0;0;0;0;0;0;0;0;0;0
9639;-53.6458333336667;-32.7374999997296;10.2833334604899;436.293786790955;6.40000009536743;19.6333336830139;1282;11.9797440132078;347;0;0;0;0;0;0;0;0;0;0;0;0;0
